Manufacturer,Country,Doses
Other,Algeria,0
Other,Bosnia,0
Other,Croatia,0
Other,Cyprus,0
Other,Germany,0
Other,Macao,0
Other,Moldova,0
Other,Paraguay,0
Other,Qatar,0
Other,Russia,0
Other,Singapore,0
Other,Syria,0
Other,San Marino,7500
Other,Belarus,100000
Other,Mauritius,0
Other,Senegal,200000
Other,Somalia,200000
Other,Benin,0
Other,Maldives,218000
Other,Bahrain,300000
Other,Oman,0
Other,Armenia,1000000
Other,Jordan,150000
Other,Kosovo,0
Other,North Macedonia,500000
Other,Honduras,70000
Other,Albania,0
Other,Botswana,0
Other,Slovakia,2000000
Other,Uzbekistan,2000000
Other,Palestine,10000
Other,Zimbabwe,1000000
Other,Tunisia,500000
Other,Kazakhstan,3000000
Other,Lebanon,1000000
Other,United Arab Emirates,3000000
Other,Cambodia,1700000
Other,Mongolia,3600000
Other,Uruguay,0
Other,Kuwait,0
Other,Panama,0
Other,Costa Rica,0
Other,Serbia,5000000
Other,Iraq,3050000
Other,Hungary,7000000
Other,Saudi Arabia,0
Other,El Salvador,0
Other,Azerbaijan,0
Other,Venezuela,10000000
Other,Hong Kong,0
Other,Ecuador,2000000
Other,Guatemala,16000000
Other,Dominican Republic,0
Other,Bolivia,4100000
Other,Nepal,25800000
Other,New Zealand,0
Other,Pakistan,25700000
Other,Switzerland,5000000
Other,South Africa,0
Other,Bangladesh,0
Other,Myanmar,0
Other,SriLanka,27600000
Other,Taiwan,0
Other,Israel,4000000
Other,Ukraine,0
Other,Colombia,0
Other,Peru,2000000
Other,Argentina,34000000
Other,Iran,62900000
Other,Malaysia,9900000
Other,Vietnam,50000000
Other,Thailand,1000000
Other,Chile,1800000
Other,Morocco,41000000
Other,Egypt,45000000
Other,Rest,572405500
Other,Latam (w/o Brazil),0
Other,Philippines,18000000
Other,Australia,0
Other,South Korea,0
Other,Mexico,71000000
Other,Turkey,50000000
Other,Indonesia,30000000
Other,African Union,0
Other,Japan,0
Other,Canada,76000000
Other,India,180000000
Other,China,0
Other,Brazil,10000000
Other,UK,150000000
Other,USA,0
Other,COVAX,0
Other,EU,225000000
Sanofi-GSK,Algeria,0
Sanofi-GSK,Bosnia,0
Sanofi-GSK,Croatia,0
Sanofi-GSK,Cyprus,0
Sanofi-GSK,Germany,0
Sanofi-GSK,Macao,0
Sanofi-GSK,Moldova,0
Sanofi-GSK,Paraguay,0
Sanofi-GSK,Qatar,0
Sanofi-GSK,Russia,0
Sanofi-GSK,Singapore,0
Sanofi-GSK,Syria,0
Sanofi-GSK,San Marino,0
Sanofi-GSK,Belarus,0
Sanofi-GSK,Mauritius,0
Sanofi-GSK,Senegal,0
Sanofi-GSK,Somalia,0
Sanofi-GSK,Benin,0
Sanofi-GSK,Maldives,0
Sanofi-GSK,Bahrain,0
Sanofi-GSK,Oman,0
Sanofi-GSK,Armenia,0
Sanofi-GSK,Jordan,0
Sanofi-GSK,Kosovo,0
Sanofi-GSK,North Macedonia,0
Sanofi-GSK,Honduras,0
Sanofi-GSK,Albania,0
Sanofi-GSK,Botswana,0
Sanofi-GSK,Slovakia,0
Sanofi-GSK,Uzbekistan,0
Sanofi-GSK,Palestine,0
Sanofi-GSK,Zimbabwe,0
Sanofi-GSK,Tunisia,0
Sanofi-GSK,Kazakhstan,0
Sanofi-GSK,Lebanon,0
Sanofi-GSK,United Arab Emirates,0
Sanofi-GSK,Cambodia,0
Sanofi-GSK,Mongolia,0
Sanofi-GSK,Uruguay,0
Sanofi-GSK,Kuwait,0
Sanofi-GSK,Panama,0
Sanofi-GSK,Costa Rica,0
Sanofi-GSK,Serbia,0
Sanofi-GSK,Iraq,0
Sanofi-GSK,Hungary,0
Sanofi-GSK,Saudi Arabia,0
Sanofi-GSK,El Salvador,0
Sanofi-GSK,Azerbaijan,0
Sanofi-GSK,Venezuela,0
Sanofi-GSK,Hong Kong,0
Sanofi-GSK,Ecuador,0
Sanofi-GSK,Guatemala,0
Sanofi-GSK,Dominican Republic,0
Sanofi-GSK,Bolivia,0
Sanofi-GSK,Nepal,0
Sanofi-GSK,New Zealand,0
Sanofi-GSK,Pakistan,0
Sanofi-GSK,Switzerland,0
Sanofi-GSK,South Africa,0
Sanofi-GSK,Bangladesh,0
Sanofi-GSK,Myanmar,0
Sanofi-GSK,SriLanka,0
Sanofi-GSK,Taiwan,0
Sanofi-GSK,Israel,0
Sanofi-GSK,Ukraine,0
Sanofi-GSK,Colombia,0
Sanofi-GSK,Peru,0
Sanofi-GSK,Argentina,0
Sanofi-GSK,Iran,0
Sanofi-GSK,Malaysia,0
Sanofi-GSK,Vietnam,0
Sanofi-GSK,Thailand,0
Sanofi-GSK,Chile,0
Sanofi-GSK,Morocco,0
Sanofi-GSK,Egypt,0
Sanofi-GSK,Rest,0
